shape,n_levels,kind,reps,bulk_frac,statistic,null_mean,null_sd,p2.5,p97.5,asymptote,asymptote_in_band,branches
4096x4096,4096.0,wishart,40,1.0,n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,r_statistic_mean,0.5312767024320302,0.005457189146353442,0.5202534740789585,0.5401503433154747,0.5307,yes,cheb
4096x4096,4096.0,wishart,40,1.0,unfold_mean_spacing,1.0000786005763487,0.00019278677500755902,0.999742301666118,1.0003942934546428,1.0,yes,cheb
4096x4096,4096.0,wishart,40,1.0,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,unfold_n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,nn_KS_GOE,0.0125693563224552,0.0033088468835930003,0.007365498762477926,0.019311029673800092,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,nn_KS_Poisson,0.21319244596057785,0.0052344529620477935,0.20382845528351587,0.22262247532689963,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,brody_beta,0.9594218163267634,0.028999611556358853,0.8985210241113151,1.0231224674468211,1.0,yes,cheb
4096x4096,4096.0,wishart,40,1.0,delta3_L5,0.17392917784991585,0.00260944714203336,0.1695950632287829,0.18008853314939655,0.15611872887617861,NO,cheb
4096x4096,4096.0,wishart,40,1.0,delta3_L10,0.23619786223076997,0.004180708644647705,0.22889782467983233,0.24438395995883647,0.2263492216488615,NO,cheb
4096x4096,4096.0,wishart,40,1.0,delta3_L50,0.3883554671280808,0.011789123894866244,0.3651385358657779,0.40902683360143266,0.38941937593553777,yes,cheb
4096x4096,4096.0,wishart,40,1.0,sigma2_L5,0.7687873839362502,0.021632169497633354,0.737726977252503,0.8047021347781238,0.7681827841428772,yes,cheb
4096x4096,4096.0,wishart,40,1.0,sigma2_L10,0.8998619632262497,0.033578635809725005,0.8421167050256344,0.9733080540356301,0.9086437696882431,yes,cheb
4096x4096,4096.0,wishart,40,1.0,sigma2_L20,1.0334414710025044,0.049289931501385414,0.9508295852425505,1.127129157925043,1.0491047552336088,yes,cheb
4096x4096,,wishart,8,,pt_frac_random,0.9575,0.016903085094570346,0.94,0.98,0.95,,
4096x4096,,wishart,8,,pt_p_mean,0.5139244828895619,0.014462200511796877,0.5009150844393144,0.5399861769300198,0.5,,
1024x4096,1024.0,wishart,40,1.0,n_levels,1024.0,0.0,1024.0,1024.0,nan,-,cheb
1024x4096,1024.0,wishart,40,1.0,r_statistic_mean,0.5316925035548208,0.00847699152872783,0.5205563677435469,0.5470875159687154,0.5307,yes,cheb
1024x4096,1024.0,wishart,40,1.0,unfold_mean_spacing,0.9997602038446392,0.0008835484831922856,0.9983548660501755,1.001233266576611,1.0,yes,cheb
1024x4096,1024.0,wishart,40,1.0,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
1024x4096,1024.0,wishart,40,1.0,unfold_n_levels,1024.0,0.0,1024.0,1024.0,nan,-,cheb
1024x4096,1024.0,wishart,40,1.0,nn_KS_GOE,0.02237191346496013,0.00494931386719717,0.013894332382141238,0.0326224856364826,nan,-,cheb
