shape,n_levels,kind,reps,bulk_frac,statistic,null_mean,null_sd,p2.5,p97.5,asymptote,asymptote_in_band,branches
4096x4096,4096.0,wishart,40,1.0,n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,r_statistic_mean,0.5312767024320302,0.005457189146353442,0.5202534740789585,0.5401503433154747,0.5307,yes,cheb
4096x4096,4096.0,wishart,40,1.0,unfold_mean_spacing,1.0010729599628632,0.00044556879728412254,1.0003092524248702,1.001771012863449,1.0,NO,cheb
4096x4096,4096.0,wishart,40,1.0,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,unfold_n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,nn_KS_GOE,0.012240999396878624,0.003285996829457886,0.007033417688874088,0.018972133911303174,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,nn_KS_Poisson,0.21335513697942873,0.005189112264964669,0.2038085654998029,0.22306555304645032,nan,-,cheb
4096x4096,4096.0,wishart,40,1.0,brody_beta,0.9601806596984723,0.029079425404810372,0.8986161961633367,1.0234385450921581,1.0,yes,cheb
4096x4096,4096.0,wishart,40,1.0,delta3_L5,0.17351784390419825,0.0027317863210978605,0.16981049103096896,0.17920221835457634,0.15611872887617861,NO,cheb
4096x4096,4096.0,wishart,40,1.0,delta3_L10,0.23584002418820155,0.004327412499384981,0.22959689210537665,0.24475179697271568,0.2263492216488615,NO,cheb
4096x4096,4096.0,wishart,40,1.0,delta3_L50,0.3886571162370341,0.011734603819199729,0.3660269310442392,0.41011186612652917,0.38941937593553777,yes,cheb
4096x4096,4096.0,wishart,40,1.0,sigma2_L5,0.7745964732468749,0.020200879022379367,0.7414889447449969,0.8050821164681221,0.7681827841428772,yes,cheb
4096x4096,4096.0,wishart,40,1.0,sigma2_L10,0.9150485520337515,0.031883411705349786,0.8693670257918935,0.9694957157593801,0.9086437696882431,yes,cheb
4096x4096,4096.0,wishart,40,1.0,sigma2_L20,1.0677750119793799,0.046475716214888364,0.9919674152594297,1.154350243389348,1.0491047552336088,yes,cheb
4096x4096,,wishart,8,,pt_frac_random,0.9575,0.016903085094570346,0.94,0.98,0.95,,
4096x4096,,wishart,8,,pt_p_mean,0.5139244828895619,0.014462200511796877,0.5009150844393144,0.5399861769300198,0.5,,
1024x4096,1024.0,wishart,40,1.0,n_levels,1024.0,0.0,1024.0,1024.0,nan,-,cheb
1024x4096,1024.0,wishart,40,1.0,r_statistic_mean,0.5316925035548208,0.00847699152872783,0.5205563677435469,0.5470875159687154,0.5307,yes,cheb
1024x4096,1024.0,wishart,40,1.0,unfold_mean_spacing,1.002060577333058,0.0012148397162041109,0.9998542064856556,1.0040666029643888,1.0,yes,cheb
1024x4096,1024.0,wishart,40,1.0,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
1024x4096,1024.0,wishart,40,1.0,unfold_n_levels,1024.0,0.0,1024.0,1024.0,nan,-,cheb
1024x4096,1024.0,wishart,40,1.0,nn_KS_GOE,0.022002450124641394,0.0047954811326893195,0.01509114275214268,0.03096289362424508,nan,-,cheb
