name,shape,unfold_method_used,z_r_statistic_mean,r_statistic_mean,z_nn_KS_GOE,nn_KS_GOE,z_brody_beta,brody_beta,z_delta3_L5,delta3_L5,z_delta3_L10,delta3_L10,z_delta3_L50,delta3_L50,z_sigma2_L5,sigma2_L5,z_sigma2_L10,sigma2_L10,z_sigma2_L20,sigma2_L20,z_pt_frac_random,pt_frac_random,z_pt_p_mean,pt_p_mean
model.layers.0.self_attn.q_proj.weight,4096x4096,cheb,-1.4386514960270387,0.5234257091025263,3.5400091724448104,0.024282704640589847,-2.616974113442172,0.8835305835838938,-1.3475569340525397,0.17041279925962521,-0.6847274113359131,0.23333521642297067,4.210529899034097,0.4379939257708324,22.972663269771093,1.2657359295999946,57.50948903020886,2.8309521509750084,146.05082946595454,8.232276851099925,-56.64646392317878,0.0,-35.535704436565624,0.0
model.layers.0.self_attn.k_proj.weight,1024x4096,cheb,-2.2036253857877317,0.5130123898270086,0.5367056358843315,0.025028238111245327,-1.0423707023966797,0.9077562302316454,0.8110972890636018,0.177910200559579,1.1670573895733523,0.24359588184043945,0.14981385321352164,0.3941791776456944,0.1469681600547663,0.7662510993749976,0.5834517065298999,0.9381217057749893,1.1744524232042264,1.1248044597750209,-95.30281119201462,0.0009765625,-40.28228906228095,0.000501725628039733
model.layers.0.self_attn.v_proj.weight,1024x4096,cheb,1.1108390560742847,0.5411090768229425,1.2905606968168815,0.028759303418175564,2.0968039335211572,1.0507695122083953,-2.4212058308417994,0.16459967932370856,-1.1929570948893558,0.22741619971856303,1.0676027648348687,0.4114402118426439,0.7340310962707063,0.7858998236000012,1.0838168899082854,0.9663798319000136,0.3958172179116966,1.0595386544000007,-95.40068615729419,0.0,-40.32193727338097,1.0232968482497208e-05
model.layers.0.self_attn.o_proj.weight,4096x4096,cheb,-0.25339089761584804,0.5298939003757762,0.7356920379997645,0.015003648629674904,-1.0404409542341253,0.9292494328066464,-0.4085440591237895,0.17286310372244057,0.8405887602261276,0.23971211892724104,1.3848946883544269,0.4046821621904333,1.4259608146157488,0.7996340099750014,1.5608649342024625,0.9522736784000045,1.8167582231261166,1.1229893593749694,-21.880829064973785,0.587646484375,-23.455787591015774,0.1747021795861748
model.layers.0.mlp.gate_proj.weight,14336x4096,gauss,-1.8570100194609074,0.5229468418074634,2.25944966807609,0.020064538894084827,-2.437077127897726,0.9019534783631771,1.798989597949477,0.1775087483198385,1.5028499509576139,0.2404447969886191,-1.8503110392741406,0.36762685464644096,1.7413715250512594,0.7946429937749997,nan,nan,nan,nan,-3.328682381703001,0.8740234375,-7.222453837899169,0.4017640006537562
model.layers.0.mlp.up_proj.weight,14336x4096,gauss,0.26674390836014056,0.5320432357749177,0.18178702447699197,0.013521659875076864,0.04877940677895795,0.954576158990869,0.6672838204653762,0.17521003567669174,0.63741381289728,0.23720036090737262,-2.3473619543636333,0.3618371570063755,0.17723239693284043,0.7689866875999947,nan,nan,nan,nan,-6.925393658557934,0.802734375,-12.253659422795364,0.3317158436673724
model.layers.0.mlp.down_proj.weight,4096x14336,cheb,0.5450278364245291,0.5338646890516218,-0.5611156356275772,0.01140618067959892,0.043866687323654376,0.9598584098849214,-0.02080356733954191,0.17325648015740544,2.1752669646923253,0.24315666561649651,0.42388617579467436,0.3931720153310577,0.8988808625610711,0.7839681093749995,0.9337737457514732,0.9304898631000071,1.4952801559566933,1.1121833743750358,-4.274785449828712,0.900634765625,-5.851779036925103,0.40829854615750744
model.layers.8.self_attn.q_proj.weight,4096x4096,cheb,0.016945547604871818,0.5313691774904985,0.4676430606711504,0.014116715606390828,-0.6073668741843377,0.9418084129032177,0.6495154342583724,0.17562405404354792,0.13379479021607266,0.23675721926683513,1.002410570062857,0.4001730095320753,-0.12231368363409335,0.7661414735999976,0.2633729314930828,0.9087056669749956,0.5560620143424367,1.0608497295999655,-1.2554337274097134,0.936279296875,-3.620322214520345,0.4615666571058562
model.layers.8.self_attn.k_proj.weight,1024x4096,cheb,-1.0067883079374647,0.5231579675972127,0.18327910323617777,0.023279019272174406,-1.3739470445096,0.8926504057996926,0.775506674591513,0.1777636395434382,0.985069976982074,0.2423482206479786,1.714898683484884,0.42361403182007834,1.445718623750035,0.8097196750999984,2.2407779973031676,1.0317192159750022,1.3437246297300436,1.138992987100039,-2.1258442458720674,0.9306640625,-1.9111184183342325,0.4761637589677402
model.layers.8.self_attn.v_proj.weight,1024x4096,cheb,-0.33882392254249316,0.5288202960336977,-0.6840960874767104,0.01898610721271632,-0.08733283808003835,0.9512654691969553,0.05077305813999271,0.17477920960779236,2.27967806730533,0.2512237370957552,2.3064462772873546,0.4347393822317646,3.1844212110659234,0.8679132443750035,1.7283527627112936,1.0027799984000012,1.9724676303429634,1.191694711900027,-8.389842023764004,0.8681640625,-8.802485164905729,0.3907360416436947
