shape,n_levels,kind,reps,bulk_frac,statistic,null_mean,null_sd,p2.5,p97.5,asymptote,asymptote_in_band,branches
400x400,280.0,wishart,20,0.7,n_levels,280.0,0.0,280.0,280.0,nan,-,cheb
400x400,280.0,wishart,20,0.7,r_statistic_mean,0.5356754113766606,0.018908725065949226,0.5068756770532375,0.5709828431225776,0.5307,yes,cheb
400x400,280.0,wishart,20,0.7,unfold_mean_spacing,0.9988789116585022,0.003317885223937124,0.9941845949021777,1.005534645999837,1.0,yes,cheb
400x400,280.0,wishart,20,0.7,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
400x400,280.0,wishart,20,0.7,unfold_n_levels,280.0,0.0,280.0,280.0,nan,-,cheb
400x400,280.0,wishart,20,0.7,nn_KS_GOE,0.03905291585795567,0.010057839750390245,0.02484050182352983,0.05637316306036338,nan,-,cheb
400x400,280.0,wishart,20,0.7,nn_KS_Poisson,0.2299108867595209,0.02213131203438499,0.1887456760735276,0.26480199357065604,nan,-,cheb
400x400,280.0,wishart,20,0.7,delta3_L5,0.1712633581010572,0.009403147499597378,0.15539075470116728,0.1891065876722341,0.15611872887617861,yes,cheb
400x400,280.0,wishart,20,0.7,delta3_L10,0.23050319970952904,0.015168608496428941,0.20829801233971706,0.26412689804948736,0.2263492216488615,yes,cheb
400x400,280.0,wishart,20,0.7,delta3_L50,0.3768947593589156,0.04515084437656293,0.31319978825412614,0.46474863074316936,0.38941937593553777,yes,cheb
400x400,280.0,wishart,20,0.7,sigma2_L5,0.742844465300001,0.07025885616216794,0.6313530046631259,0.8640984565006246,0.7681827841428772,yes,cheb
400x400,280.0,wishart,20,0.7,sigma2_L10,0.8620251704887515,0.1104815212610803,0.6824164136625097,1.054511628709376,0.9086437696882431,yes,cheb
400x400,280.0,wishart,20,0.7,sigma2_L20,0.894851767948748,0.13345996016443534,0.6666045386193972,1.1185052537530977,1.0491047552336088,yes,cheb
